topic,mentions_this_week,mentions_prev_week,velocity,recency,source_count,rep_headlines,velocity_norm,recency_norm,source_norm,trend_score,score_prev,score_delta
-1,1,327,-0.9969418960244648,329,1,"The Story of DOGE, as Told by Federal Workers",0.0005876108878611,0.15304676428908837,0.07142857142857142,6.757764507044237,,
0,968,186,4.204301075268817,2122,14,"How Wild Can a Sneaker-Loafer Get? || 13 Best MagSafe Power Banks for iPhones (2025), Tested and Reviewed || 17 Best MagSafe Wireless Chargers (2025): Power Banks, Stands, Pads, and Travel Chargers",1.0,1.0,1.0,100.0,,
1,10,103,-0.9029126213592233,123,2,SXSW attendees share the worst work advice they’ve ever received || Job Board (September Free Week) || Job Board: September 18,0.01865521944957072,0.055739253660840815,0.14285714285714285,6.704100673522338,,
10,0,50,-1.0,50,0,,0.0,0.021256495040151157,0.0,0.6376948512045346,,
11,0,47,-1.0,47,0,,0.0,0.01983939537080775,0.0,0.5951818611242324,,
12,0,42,-1.0,42,0,,0.0,0.01747756258856873,0.0,0.5243268776570619,,
13,0,27,-1.0,27,0,,0.0,0.010392064241851677,0.0,0.3117619272555503,,
14,0,41,-1.0,41,0,,0.0,0.017005196032120928,0.0,0.5101558809636279,,
15,0,38,-1.0,38,0,,0.0,0.015588096362777516,0.0,0.4676428908833254,,
16,0,36,-1.0,36,0,,0.0,0.01464336324988191,0.0,0.4393008974964573,,
17,0,34,-1.0,34,0,,0.0,0.0136986301369863,0.0,0.410958904109589,,
18,0,24,-1.0,24,0,,0.0,0.008974964572508267,0.0,0.269248937175248,,
19,0,30,-1.0,30,0,,0.0,0.011809163911195087,0.0,0.3542749173358526,,
2,10,87,-0.8850574712643678,107,2,"U.S. Pledges Support for Argentina’s Economy and Javier Milei || Argentine Tech Executive Dies After Falling 2,000 Feet on Mount Shasta || Milei Fixed Half of Argentina’s Inflation Problem. He Needs Help With the Rest.",0.022086064405813618,0.04818138875767596,0.14285714285714285,6.61459852467711,,
20,0,26,-1.0,26,0,,0.0,0.009919697685403874,0.0,0.2975909305621162,,
21,0,16,-1.0,16,0,,0.0,0.0051960321209258385,0.0,0.15588096362777515,,
22,0,23,-1.0,23,0,,0.0,0.008502598016060464,0.0,0.2550779404818139,,
23,0,15,-1.0,15,0,,0.0,0.004723665564478035,0.0,0.14170996693434104,,
24,0,14,-1.0,14,0,,0.0,0.004251299008030231,0.0,0.12753897024090693,,
25,0,11,-1.0,11,0,,0.0,0.0028341993386868207,0.0,0.08502598016060461,,
26,0,11,-1.0,11,0,,0.0,0.0028341993386868207,0.0,0.08502598016060461,,
27,0,6,-1.0,6,0,,0.0,0.0004723665564478033,0.0,0.014170996693434098,,
28,0,5,-1.0,5,0,,0.0,0.0,0.0,0.0,,
3,0,58,-1.0,58,0,,0.0,0.025035427491733587,0.0,0.7510628247520076,,
4,0,81,-1.0,81,0,,0.0,0.03589985829003307,0.0,1.076995748700992,,
5,0,72,-1.0,72,0,,0.0,0.03164855928200284,0.0,0.949456778460085,,
6,0,63,-1.0,63,0,,0.0,0.027397260273972605,0.0,0.8219178082191781,,
7,0,60,-1.0,60,0,,0.0,0.025980160604629193,0.0,0.7794048181388757,,
8,0,39,-1.0,39,0,,0.0,0.01606046291922532,0.0,0.4818138875767595,,
9,0,55,-1.0,55,0,,0.0,0.023618327822390175,0.0,0.7085498346717052,,
