section,metric,value
items,OUR LEGACY | vaqueros con detalles rasgados,https://www.farfetch.com/es/shopping/women/our-legacy-vaqueros-con-detalles-rasgados-item-31981966.aspx
items,Maison Margiela | zapatillas Metallic con paneles,https://www.farfetch.com/es/shopping/women/maison-margiela-zapatillas-metallic-con-paneles-item-30391006.aspx
items,Jacquemus | gabardina con cinturÃ³n,https://www.farfetch.com/es/shopping/women/jacquemus-gabardina-con-cinturon-item-30656772.aspx
items,KHAITE | botines Colt con cremallera,https://www.farfetch.com/es/shopping/women/khaite-botines-colt-con-cremallera-item-29944522.aspx
items,AMI Paris | chaqueta con botones,https://www.farfetch.com/es/shopping/women/ami-paris-chaqueta-con-botones-item-30650912.aspx
items,LouLou de Saison | pantalones anchos con pinzas,https://www.farfetch.com/es/shopping/women/loulou-de-saison-pantalones-anchos-con-pinzas-item-32103456.aspx
items,Valentino Garavani | pendientes Coeur Royal con detalles de cristal,https://www.farfetch.com/es/shopping/women/valentino-garavani-pendientes-coeur-royal-con-detalles-de-cristal-item-31094008.aspx
items,16Arlington | vestido de fiesta Zegli con lentejuelas,https://www.farfetch.com/es/shopping/women/16arlington-vestido-de-fiesta-zegli-con-lentejuelas-item-31859087.aspx
items,KHAITE | sandalias Loulou con tacÃ³n de 750 mm,https://www.farfetch.com/es/shopping/women/khaite-sandalias-loulou-con-tacon-de-750-mm-item-29943879.aspx
items,DÃEN | vestido largo Maxime a cuadros,https://www.farfetch.com/es/shopping/women/doen-vestido-largo-maxime-a-cuadros-item-30447202.aspx
items,LEMAIRE | chaleco de punto con lazo en el cuello,https://www.farfetch.com/es/shopping/women/lemaire-chaleco-de-punto-con-lazo-en-el-cuello-item-30580638.aspx
items,Acne Studios | bolso de hombro con volantes y cordones,https://www.farfetch.com/es/shopping/women/acne-studios-bolso-de-hombro-con-volantes-y-cordones-item-29878750.aspx
items,Acne Studios | pantalones acampanados y detalle de lazo,https://www.farfetch.com/es/shopping/women/acne-studios-pantalones-acampanados-y-detalle-de-lazo-item-29878851.aspx
items,KHAITE | mules Colt con tacÃ³n de 100 mm,https://www.farfetch.com/es/shopping/women/khaite-mules-colt-con-tacon-de-100-mm-item-32170850.aspx
items,Jacquemus | polo de lana merino,https://www.farfetch.com/es/shopping/women/jacquemus-polo-de-lana-merino-item-31997237.aspx
items,LOEWE | bolso shopper Puzzle con flecos de Loewe x Albers,https://www.farfetch.com/es/shopping/women/loewe-bolso-shopper-puzzle-con-flecos-de-loewe-x-albers-item-31940752.aspx
items,LouLou de Saison | falda midi MASON a rayas diplomÃ¡ticas,https://www.farfetch.com/es/shopping/women/loulou-de-saison-falda-midi-mason-a-rayas-diplomaticas-item-31715342.aspx
items,AlaÃ¯a | sandalias de piel con tacÃ³n de 90 mm,https://www.farfetch.com/es/shopping/women/alaia-sandalias-de-piel-con-tacon-de-90-mm-item-31747463.aspx
items,Sportmax | abrigo con cinturÃ³n y doble botonadura,https://www.farfetch.com/es/shopping/women/sportmax-abrigo-con-cinturon-y-doble-botonadura-item-32011345.aspx
items,PUMA | bailarinas estilo zapatillas Speedcat,https://www.farfetch.com/es/shopping/women/puma-bailarinas-estilo-zapatillas-speedcat-item-32125719.aspx
